symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
ADANIENT,1,2018,165.8,220.5,162.15,213.2,32.992,-2.201,28.589,32.992,2.201,2.201,4.6000000000000005,20.6,16.0,16.0,1.16
ADANIENT,2,2018,213.0,223.5,182.7,203.55,4.93,-14.225,-4.437,14.225,4.93,4.93,4.6000000000000005,20.6,-9.200000000000001,6.799999999999999,1.05328
ADANIENT,3,2018,203.55,206.7,148.7,156.4,1.548,-26.947,-23.164,26.947,1.548,1.548,4.6000000000000005,20.6,16.0,22.799999999999997,1.2218048
ADANIENT,4,2018,157.3,166.4,126.25,140.1,5.785,-19.739,-10.935,19.739,5.785,5.785,4.6000000000000005,20.6,-9.200000000000001,13.599999999999996,1.1093987584
ADANIENT,5,2018,140.35,141.5,115.65,121.0,0.819,-17.599,-13.787,17.599,0.819,0.819,4.6000000000000005,20.6,9.187000000000001,22.787,1.2113192223342082
ADANIENT,6,2018,121.0,137.2,108.7,113.15,13.388,-10.165,-6.488,13.388,10.165,10.165,4.6000000000000005,20.6,-9.200000000000001,13.586999999999998,1.0998778538794611
ADANIENT,7,2018,112.8,206.75,100.85,195.45,83.289,-10.594,73.271,83.289,10.594,10.594,4.6000000000000005,20.6,-9.200000000000001,4.386999999999997,0.9986890913225508
ADANIENT,8,2018,196.0,236.65,179.0,225.25,20.74,-8.673,14.923,20.74,8.673,8.673,4.6000000000000005,20.6,-9.200000000000001,-4.813000000000004,0.9068096949208762
ADANIENT,9,2018,226.0,227.4,125.6,130.6,0.619,-44.425,-42.212,44.425,0.619,0.619,4.6000000000000005,20.6,16.0,11.186999999999996,1.0518992461082162
ADANIENT,10,2018,127.0,176.7,121.35,170.0,39.134,-4.449,33.858,39.134,4.449,4.449,4.6000000000000005,20.6,16.0,27.186999999999998,1.2202031254855308
ADANIENT,11,2018,171.05,179.5,154.25,165.0,4.94,-9.822,-3.537,9.822,4.94,4.94,4.6000000000000005,20.6,-9.200000000000001,17.986999999999995,1.107944437940862
ADANIENT,12,2018,166.05,168.5,134.5,161.0,1.475,-19.0,-3.041,19.0,1.475,1.475,4.6000000000000005,20.6,-1.5590000000000006,16.427999999999994,1.090671584153364
ADANIENT,1,2019,160.9,162.35,155.45,157.25,0.901,-3.387,-2.268,3.387,0.901,0.901,4.6000000000000005,20.6,-2.3320000000000007,14.095999999999993,1.0652371228109077
